sequence,Kingdom,Phylum,Class,Order,Family,Genus_water
H51-bin090_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H51-bin091_1,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,
H51-bin092_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,GW2011-AR20,GW2011-AR20
H51-bin093_1,Bacteria,Patescibacteria,ABY1,Magasanikbacterales,GWA2-37-8,XYD2-FULL-39-9
H51-bin094_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,GWB1-50-10,
H51-bin095_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,1-14-0-10-40-38,
H51-bin096_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,
H51-bin097_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359,PALSA-1337
H51-bin098,Bacteria,Patescibacteria,Paceibacteria,WO2-41-13,1-14-0-10-42-19,
H51-bin099_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H51-bin100_1,Bacteria,GWC2-55-46,GWC2-55-46,GWC2-55-46,UBA9637,
H51-bin101,Bacteria,Patescibacteria,ABY1,UBA2169,UBA2169,2-02-FULL-48-11-A
H51-bin102_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,UBA10103
H51-bin103_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H51-bin104,Bacteria,Patescibacteria,Paceibacteria,WO2-41-13,UBA11713,
H51-bin105_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9988,
H51-bin106_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,CG1-02-32-21,CG1-02-32-21
H51-bin107,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA11618,
H51-bin108,Bacteria,Patescibacteria,Paceibacteria,WO2-41-13,UBA11713,
H51-bin109,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,UBA489,
H51-bin110_1,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,
H51-bin111_1,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,
H51-bin112_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9988,
H51-bin113_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,GW2011-AR18,GW2011-AR18
H51-bin114_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,
H51-bin115_1,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,
H51-bin116_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,UBA8517,
H51-bin117_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,GWB1-50-10,
H51-bin118_1,Bacteria,Patescibacteria,Paceibacteria,Ryanbacterales,GWA2-47-10b,
H51-bin119,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,UBA489,
H51-bin120_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,
H51-bin120_2,Bacteria,Patescibacteria,Paceibacteria,UBA9983,,
H51-bin121,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,UBA73
H51-bin122_1,Bacteria,Patescibacteria,UBA1384,2-12-FULL-50-11,2-12-FULL-50-11,
H51-bin123_1,Bacteria,Patescibacteria,Microgenomatia,UBA1400,CG1-02-47-37,
H51-bin124,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ASMP01
H51-bin125,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,,
H51-bin126_1,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,Staskawiczbacteraceae,2-01-FULL-40-39
H51-bin127_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA10107,UBA10107
H51-bin128_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,WO2-44-18,
H51-bin129_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,,
H51-bin130_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,,
H51-bin131_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359,
H51-bin132_1,Bacteria,Patescibacteria,Paceibacteria,2-02-FULL-40-12,IGHO2-01-FULL-4-A,
H51-bin133,Bacteria,Patescibacteria,ABY1,Magasanikbacterales,UBA10197,
H51-bin134_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,
H51-bin135_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,CG1-02-32-21,CG1-02-32-21
H51-bin136_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,GWC1-37-10
H51-bin137_1,Archaea,Nanoarchaeota,Nanoarchaeia,UBA10117,UBA10117,UBA10117
H51-bin138_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,WO2-44-18,2011-GWA2-47-8b
H51-bin139,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,,
H51-bin140_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,,
H51-bin141_1,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA10212,UBA6824
H51-bin142_1,Bacteria,Patescibacteria,Andersenbacteria,UBA10190,,
H51-bin143_1,Bacteria,Patescibacteria,Paceibacteria,Ryanbacterales,,
H51-bin144_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA1539,
H51-bin145_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,,
H51-bin146,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,UBA1609,
H51-bin147_1,Archaea,Nanoarchaeota,Nanoarchaeia,SCGC-AAA011-G17,,
H51-bin147_2,Archaea,Nanoarchaeota,Nanoarchaeia,,,
H51-bin148_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,GWB1-50-10,GWB1-50-10
H51-bin149_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9988,
H51-bin150_1,Bacteria,Patescibacteria,Paceibacteria,WOR2-41-13_A,2-01-FULL-45-33,
H51-bin151_1,Bacteria,Patescibacteria,Paceibacteria,WO2-41-13,H02-45-28,HO2-45-28
H51-bin152_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,XYD1-FULL-46-19,
H51-bin153,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,UBA73,UBA73
H51-bin154_1,Archaea,Iainarchaeota,Iainarchaeia,,,
H51-bin155_1,Bacteria,Patescibacteria,Paceibacteria,WOR2-41-13_A,2-01-FULL-45-33,
H51-bin156_1,Bacteria,Patescibacteria,ABY1,UBA10025,PEXW01,PEXW01
H51-bin157_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,
H51-bin158_1,Bacteria,Patescibacteria,Paceibacteria,GWC2-36-17,M10-OD1-4,
H51-bin159_1,Bacteria,Patescibacteria,UBA1384,XYA2-FULL-43-10,XYA2-FULL-43-10,
H51-bin160_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,
H51-bin161_1,Bacteria,Patescibacteria,ABY1,SG8-24,UBA9934,UBA11707
H51-bin162_1,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,UM-FILTER-44-12
H51-bin163_1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,
H51-bin164_1,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,UTPLA1,UTPLA1
H51-bin165_1,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Fen-1231
H51-bin166_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,
H51-bin167_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359_A,2-02-FULL-44-35
H51-bin168_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,,
H51-bin169_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,
H51-bin170,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosoarchaeum
H51-bin171,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Sulfurifustaceae,Sulfuricaulis
H51-bin173_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H51-bin174_1,Archaea,Thermoplasmatota,Thermoplasmata,RBG-16-68-12,RBG-16-68-12,
H51-bin175_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SG8-41,PALSA-1004
H51-bin176,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,UBA1845,
H51-bin177_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,,
H51-bin179,Bacteria,Proteobacteria,Alphaproteobacteria,Bin95,,
H51-bin180_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR4,
H51-bin181_1,Bacteria,Patescibacteria,Paceibacteria,WO2-41-13,2-12-FULL-41-13,
H51-bin182_1,Bacteria,Binatota,Binatia,UBA9968,UBA9968,UBA9968
H51-bin183_1,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,
H51-bin184,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,
H51-bin186_1,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,
H51-bin187_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D
H51-bin188_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,CSP1-1
H51-bin189_1,Bacteria,Binatota,Binatia,UBA9968,UBA9968,UBA9968
H51-bin190_1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Sulfurifustaceae,SM1-46
H51-bin191_1,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,
H51-bin192_1,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,AR19
H51-bin192_2,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,AR19
H51-bin193_1,Bacteria,GWC2-55-46,GWC2-55-46,GWC2-55-46,UBA9637,
H51-bin194,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA1565,
H51-bin195_1,Bacteria,Nitrospirota,Nitrospiria,,,
H51-bin196_1,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,
H51-bin197_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983,,
H51-bin198_1,Bacteria,GWC2-55-46,GWC2-55-46,GWC2-55-46,UBA9637,
H51-bin200_1,Bacteria,Methylomirabilota,Methylomirabilia,Methylomirabilales,,
H51-bin201_1,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,
H51-bin202_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas
H51-bin203_1,Bacteria,Patescibacteria,Paceibacteria,Sungbacterales,HO2-52-23,
H51-bin204_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11
H51-bin205_1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,UBA6901,
H51-bin206,Bacteria,Actinobacteriota,Thermoleophilia,20CM-4-69-9,,
H51-bin207_2,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,
H51-bin208_1,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,UBA12499
H51-bin209,Bacteria,Patescibacteria,ABY1,UBA2169,UBA2169,2-02-FULL-48-11-A
H51-bin210_1,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,
H51-bin211_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,UBA10216,UBA10216
H51-bin212,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR4,GCA-2688775
H51-bin213_1,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA1562
H51-bin214_1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,2-02-FULL-50-16-A,2-02-FULL-50-16-A
H51-bin215_1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Sulfurifustaceae,
H51-bin216_1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,2-02-FULL-50-16-A,2-12-FULL-52-36
H51-bin217_1,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA6906,
H51-bin218_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359_A,UBA10002
H51-bin219,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,GW2011-AR9
H51-bin220_1,Bacteria,Chloroflexota_A,Ellin6529,P2-11E,P2-11E,
H51-bin221_1,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,JJ008
H51-bin221_2,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,JJ008
H51-bin221_3,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,JJ008
H51-bin222_1,Bacteria,Patescibacteria,ABY1,Magasanikbacterales,UBA10197,
H51-bin224_1,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,UBA5619,UBA5619
H51-bin225_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,ARS49,
H51-bin226_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359_A,
H51-bin227_1,Bacteria,Nitrospirota,Thermodesulfovibrionia,,,
H51-bin228_1,Bacteria,Patescibacteria,Paceibacteria,Sungbacterales,HO2-52-23,
H51-bin229,Bacteria,Patescibacteria,ABY1,,,
H51-bin230_1,Bacteria,Patescibacteria,ABY1,Magasanikbacterales,UBA10003,UBA10003
H51-bin231_1,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,
H51-bin232_1,Bacteria,KSB1,UBA2214,UBA2214,,
H51-bin233_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,,
H51-bin234_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315
H51-bin235_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,
H51-bin236_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,C7867-001
H51-bin237_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
H51-bin237_2,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
H51-bin239_1,Bacteria,Binatota,Binatia,UBA9968,UBA9968,UBA9968
H51-bin240_1,Archaea,Thermoplasmatota,Thermoplasmata,RBG-16-68-12,RBG-16-68-12,
H51-bin241_1,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546
H51-bin242_1,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,
H51-bin243_1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,
H51-bin244,Bacteria,Planctomycetota,UBA1135,UBA1135,,
H51-bin245,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR4,GCA-2688925
H51-bin246_1,Bacteria,Acidobacteriota,Blastocatellia,Chloracidobacteriales,,
H51-bin248_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D
H51-bin249_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,
H51-bin250_1,Bacteria,Nitrospirota,Nitrospiria,9FT-COMBO-42-15,9FT-COMBO-42-15,
H51-bin251_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315
H51-bin252_1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Sulfurifustaceae,SM1-46
H51-bin253_1,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,AR19
H51-bin253_2,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,AR19
H51-bin254_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Palsa-1315
H51-bin255_1,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,CSP1-6
H51-bin256_1,Bacteria,Nitrospirota,Nitrospiria,,,
H51-bin257,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,UBA1845,
H51-bin258,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Sulfurifustaceae,Sulfuricaulis
H51-bin259,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,
H51-bin261_1,Bacteria,Methylomirabilota,Methylomirabilia,Methylomirabilales,,
H51-bin262_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas
H51-bin263_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,
H51-bin264_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11
H51-bin265,Bacteria,Nitrospirota,Nitrospiria,HDB-SIOI813,HDB-SIOI813,RBG-16-43-11
H51-bin266_1,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,UBA12499
H51-bin267_1,Bacteria,Acidobacteriota,Mor1,Gp22-AA2,Gp22-AA2,
H51-bin268_1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,2-12-FULL-39-13
H51-bin269_1,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,
H51-bin270_1,Bacteria,Binatota,Binatia,UBA9968,UBA9968,UBA9968
H51-bin271_1,Bacteria,Patescibacteria,Microgenomatia,UBA1400,,
H51-bin272_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas
H51-bin273_1,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,
H51-bin274_1_1,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,OLB14
H51-bin275,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,UBA6168
H51-bin276_1,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,
H51-bin277_1,Bacteria,Nitrospinota,UBA9942,UBA9942,UBA9942,PLOWO2-12-39-15
H51-bin278_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,Sideroxydans
H51-bin279_1,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA6906,
H51-bin280_1,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,
H51-bin281,Bacteria,Patescibacteria,ABY1,Buchananbacterales,2-01-FULL-39-33,2-01-FULL-39-33
H51-bin282_1,Bacteria,Patescibacteria,ABY1,Magasanikbacterales,UBA10003,
H51-bin283,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,UBA5619,UBA5619
H51-bin284_1,Bacteria,Bacteroidota,Bacteroidia,AKYH767,Palsa-965,GCA-2737665
H51-bin285_1,Bacteria,O2-12-FULL-43-9,O2-12-FULL-43-9,2-02-FULL-40-11,2-02-FULL-40-11,
H51-bin286_1,Bacteria,Planctomycetota,UBA8742,,,
H51-bin287_1,Bacteria,UBA8481,UBA8481,UBA8481,UBA8481,
H51-bin288_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA11359_A,2-02-FULL-44-35
H51-bin289_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,,
H51-bin290_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosoarchaeum
H51-bin291_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
H51-bin293,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA1565,
H51-bin294_1,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,
H51-bin295_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H51-bin296_1,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,UBA12499
H51-bin297_1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,
H51-bin298_1,Bacteria,Binatota,Binatia,UBA9968,UBA9968,UBA9968
H51-bin299_1,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,
H51-bin300_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR4,GCA-2688925
H51-bin301_1,Bacteria,Planctomycetota,Brocadiae,MHYJ01,,
H51-bin302_1,Archaea,Aenigmarchaeota,Aenigmarchaeia,CG10238-14,,
H51-bin303_1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,2-02-FULL-50-16-A,2-12-FULL-52-36
H51-bin304_1,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,
H51-bin305_1,Bacteria,Omnitrophota,koll11,UBA10183,UBA10183,UBA10183
H51-bin306_1,Bacteria,Planctomycetota,Brocadiae,MHYJ01,,
H51-bin307_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira_D
H51-bin308_1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,
H51-bin309_1,Archaea,Crenarchaeota,Bathyarchaeia,40CM-2-53-6,40CM-2-53-6,
H51-bin310_1,Bacteria,Binatota,Binatia,UBA9968,UBA9968,UBA9968
H51-bin311,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546
H51-bin312,Bacteria,Patescibacteria,Paceibacteria,Sungbacterales,HO2-52-23,
H51-bin313_1,Archaea,Thermoplasmatota,Thermoplasmata,RBG-16-68-12,RBG-16-68-12,
H51-bin314_1,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,GWA2-73-35,AR19
H51-bin315_1,Bacteria,Nitrospirota,Nitrospiria,,,
H51-bin316_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SG8-41,PALSA-1004
H51-bin318_1,Bacteria,Methylomirabilota,Methylomirabilia,Methylomirabilales,,
H51-bin319_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas
H51-bin320_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,UBA10204
H51-bin321_1,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,
H51-bin322_1,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,40CM-3-62-11
H51-bin323_1,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,
H51-bin324_1,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA1562
H51-bin325_1,Bacteria,Patescibacteria,Paceibacteria,WO2-41-13,2-12-FULL-41-13,
H51-bin326_1,Bacteria,Patescibacteria,ABY1,UBA11705,UBA11705,
H51-bin327_1,Bacteria,Acidobacteriota,Mor1,Gp22-AA2,Gp22-AA2,Gp22-AA3
H51-bin328_1,Bacteria,Chloroflexota,Dehalococcoidia,UBA3495,UBA3495,
H51-bin329_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR4,GCA-2686855
H51-bin330_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR4,GCA-2688775
H51-bin331_1,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA10212,
H51-bin332_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,UBA10204
H51-bin333_1,Bacteria,Omnitrophota,koll11,1-14-0-20-42-13,1-14-0-20-42-13,
H51-bin334_1,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,UBA10102,
H51-bin335_1,Bacteria,Actinobacteriota,Thermoleophilia,BMS3ABIN01,BMS3ABIN01,
H51-bin336_1,Bacteria,Hydrogenedentota,Hydrogenedentia,Hydrogenedentiales,GCA-2746185,
H51-bin337_1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas
H51-bin338_1,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,
H51-bin339,Bacteria,Planctomycetota,UBA11346,UBA11346,UBA11346,UBA11346
H51-bin340_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,,
H52-bin001_1,Bacteria,Proteobacteria,Gammaproteobacteria,UBA12402,UBA12402,O2-02-FULL-42-9
H52-bin002_1,Bacteria,Patescibacteria,Microgenomatia,UBA1400,CG1-02-47-37,
H52-bin004_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,ASMP01
H52-bin005_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,UBA9933,
H52-bin006_1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas
H52-bin007_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA2163,UBA2163
H52-bin008_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA1539,
H52-bin009_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,GWB1-50-10,
H52-bin010_1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,XYD2-FULL-41-16
H52-bin011_1,Bacteria,Planctomycetota,Brocadiae,Brocadiales,Brocadiaceae,2-12-FULL-39-13
H52-bin012_1,Bacteria,Patescibacteria,Paceibacteria,UBA9983_A,UBA9973,UBA9973
H52-bin013_1,Bacteria,Desulfuromonadota,,,,
H52-bin014_1,Bacteria,Patescibacteria,Paceibacteria,UBA6257,MFKM01,MFKM01
H52-bin015_1,Archaea,Nanoarchaeota,Nanoarchaeia,Pacearchaeales,GW2011-AR1,JWKY01
H52-bin016_1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,UBA6901,UBA6901
H52-bin017_1,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546
H52-bin018_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,UBA8517,UBA12026
H52-bin019_1,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,
H52-bin020_1,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Amesbacteraceae,
H52-bin021_1,Bacteria,Nitrospirota,Nitrospiria,9FT-COMBO-42-15,9FT-COMBO-42-15,9FT-COMBO-42-15
H52-bin022_1,Bacteria,Nitrospirota,Nitrospiria,HDB-SIOI813,HDB-SIOI813,RBG-16-43-11
H52-bin023_1,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,2-02-FULL-52-16
H52-bin024_1,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR9,
H52-bin025_1,Bacteria,Patescibacteria,Doudnabacteria,UBA920,UBA920,PALSA-1336
H52-bin026_1,Bacteria,Patescibacteria,ABY1,Magasanikbacterales,GWA2-37-8,XYD2-FULL-39-9
H52-bin027_1,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,,
H52-bin028_1,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Sulfurifustaceae,
